Marcus Smart,PG,23,right hand injury,2,27,220,Overweight,193.04,Overaverage,5,28.9,4.7,11,1.6,2,0.5,2.6,3.8,1.5,0.6,2.5,2.7,12.2,8.7,10.84,27.6,3.6,8.4,2,2.9,0.9,2.3,5.6,1.6,0.1,2,1.4,10.1,10.4,13.57,Overperformed
Derrick White,PG,24,plantar fascia in left foot,2,26,190,Average Weight,193.04,Overaverage,6,15.3,2.8,5.5,2,2.5,0.3,2.5,1,0.3,0.3,0.3,0.8,8.9,7.9,18.59,17.2,1.7,5.1,1.1,1.4,0.1,1.8,2.8,0.6,0,1.2,1.3,4.5,3.2,6.7,Underperformed
Patrick McCaw,SG,24,left knee injury,2,35,181,Underweight,200.66,Overaverage,9,20,1.5,2.5,0.5,1,1,2,1.5,1.3,0,1.6,1.8,4,4.4,7.92,27.9,2.7,5.9,0.2,0.2,0.5,1.8,1.9,1.2,0.1,1.3,1.7,6.7,5.2,6.71,Equal
Rodney Hood,SG,24,hyperextended right knee,2,23,208,Average Weight,203.2,Overaverage,6,27.9,4.4,10.4,0.5,0.9,0.2,3.3,1.8,0.4,0.3,1,2.1,11.2,7,9.03,23.4,3.6,9.2,2.2,2.3,0.2,2.8,0.8,0.9,0.1,1.2,2.7,10.8,6.1,9.38,Equal
Sterling Brown,SG,24,right wrist injury,2,22,219,Overweight,195.58,Average,3,16,1.2,3.4,0.3,0.6,0.3,1.9,1,0.5,0.1,0.6,1.1,2.9,2.1,4.73,14.5,2,6,0,1,1,3,1.5,0,0,1,1.6,3.8,1.8,4.47,Equal
Austin Rivers,PG,25,right ankle / right heel injury,2,36,200,Average Weight,193.04,Overaverage,7,31.1,7,15.4,2,3.3,0.2,1.7,4,0.7,0.4,1.9,2.1,18.1,12.3,14.24,33.8,6,12.3,1.1,1.9,0.2,3.3,3.9,0.5,0.2,1.7,2.5,14.7,10.6,11.29,Underperformed
Delon Wright,PG,25,dislocated right shoulder,2,29,185,Underweight,195.58,Overaverage,7,20.2,2.6,4.6,1.6,1.8,0.5,1.8,2.3,0.8,0.2,1.8,1.4,7.3,6.3,11.23,21,4.1,8.4,1.2,1.4,1.1,2.3,1.9,1.6,0.9,1.1,1,10.2,9.6,16.46,Overperformed
Dion Waiters,SG,25,strained right groin,2,38,210,Average Weight,190.5,Underaverage,5,31.4,6.6,16,2.3,3.3,0.4,2.9,4.2,1.1,0.6,2,2.8,16.2,10.5,12.04,27.6,6.4,14,1.5,2.4,0.3,2.7,3.8,0.7,0,1.9,2.2,15.4,10.1,13.17,Equal
Joe Harris,SG,25,sprained left ankle,2,9,220,Overweight,198.12,Overaverage,4,19.8,2.7,6.4,0.1,0.2,0.7,1.9,1.2,0.2,0.2,0.6,1.5,6.7,4.4,8,20.5,2.6,6.3,0.6,1,0.2,2,0.7,0.6,0.3,1.2,2.3,7.5,4.2,7.38,Equal
Kelly Olynyk,PF,25,right shoulder injury,2,14,240,Average Weight,210.82,Overaverage,4,18.8,3.4,7.1,1.8,2.3,0.7,2.5,1.4,0.7,0.2,0.6,1.9,9.3,7.6,14.55,23.1,2.9,7.1,1,1.2,0.7,3.4,1.5,0.7,0.1,1.2,2.6,7.7,5.1,7.95,Underperformed
Moe Harkless,SF,25,left knee injury,2,24,220,Average Weight,200.66,Average,8,17.7,1.4,3.6,0.4,0.4,0.6,4.2,1,0.4,1.2,0.4,2,3.8,4.3,8.75,16.2,1.3,3.8,0.2,0.3,0.7,1.7,0.5,0.8,0.7,1,2.2,3,1.7,3.78,Underperformed
Tony Snell,SF,25,sprained left ankle,2,3,213,Underweight,198.12,Average,0,18.1,1.4,4.5,0.5,0.5,0.5,1.7,1.3,0.2,0.1,0.5,2,3.9,2.1,4.18,29,3.3,8.3,0.3,0.4,0.9,3.2,1.3,0.6,0,1,1.8,8.6,5.5,6.83,Overperformed
Brandon Knight,PG,26,left knee injury,2,676,182,Underweight,187.96,Average,4,17.5,3,7.5,1.1,1.3,0.3,1.2,2.2,0.2,0.2,1.5,1.1,7.6,4.1,8.43,9.3,0.8,3.7,0.1,0.3,0.1,0.3,0.5,0.2,0,0.2,1.1,1.9,-0.2,-0.77,Underperformed
Jae Crowder,SF,26,sprained left ankle,2,16,235,Overweight,198.12,Average,2,28,5,9,1.3,1.3,0.3,6,2,1.8,1,1.8,3,13.5,12.1,15.56,30.4,4.9,10.3,1.4,1.6,0.5,4.1,2.6,0.8,0.1,1,2.3,13,10.2,12.08,Underperformed
Jon Leuer,PF,26,bone bruise in right knee,2,11,228,Average Weight,208.28,Overaverage,8,26.7,4.6,8.8,1,1,1.4,3.7,1.7,0.6,0.1,0.6,2.1,11,9.2,12.4,27.4,4.9,9.6,1.4,1.6,1.2,2.8,2.3,0.3,0.5,1.1,2.8,12,9,11.82,Equal
Draymond Green,PF,28,toe injury,2,24,230,Average Weight,198.12,Underaverage,7,29.7,2.8,5.9,0.9,1.2,0.7,6.4,7.8,1.6,0.8,2.9,2.7,7,10.2,12.36,32.4,3.1,8.5,0.8,0.9,1.1,7.6,5.9,1.6,0.9,2.7,3.7,7.6,8.2,9.11,Underperformed
JaMychal Green,PF,28,fractured jaw,2,13,227,Underweight,205.74,Average,3,30.2,4.2,8.7,1,1.9,2.8,7.1,1.1,0.5,0.7,1.5,3.7,10.1,8.9,10.61,24.2,5,9.5,1.5,1.9,2.4,4.9,0.5,1.1,0.7,1.9,3.4,12.2,9.5,14.13,Overperformed
Jeremy Lin,PG,28,strained left hamstring,2,38,200,Average Weight,190.5,Average,7,26.9,5.2,11.6,3.4,4.4,0.4,3.4,6.2,1.4,0.6,2.9,0.4,14.7,13.5,18.07,22.3,4.5,10.5,3.4,4,0.2,3.1,4.3,0.8,0.3,2.1,2.9,13.8,10.3,16.63,Equal
D.J. Augustine,PG,29,strained left hamstring,2,10,183,Underweight,180.34,Underaverage,6,22.5,2.5,5.4,2.4,2.8,0.3,1.8,5.1,1.4,0,1.3,1.9,8,9,14.4,17.2,2.9,5.4,1.5,1.9,0.3,1.5,2.2,0.3,0,2,1.2,8.4,5.8,12.14,Underperformed
